Unnamed: 0,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,Supertrend Values,Supertrend Signal
326,Ok,2023-10-03 10:03:00,1696307580,19486.45,19488.55,19483.3,19484.55,0.0,0,0,0,0,19497.344805415996,-1
325,Ok,2023-10-03 10:04:00,1696307640,19484.25,19487.15,19483.65,19485.95,0.0,0,0,0,0,19496.497937035743,-1
324,Ok,2023-10-03 10:05:00,1696307700,19485.85,19486.5,19480.9,19480.9,0.0,0,0,0,0,19494.657827590403,-1
323,Ok,2023-10-03 10:06:00,1696307760,19480.3,19488.05,19480.1,19484.95,0.0,0,0,0,0,19494.657827590403,-1
322,Ok,2023-10-03 10:07:00,1696307820,19484.4,19489.95,19484.2,19488.95,0.0,0,0,0,0,19494.657827590403,-1
321,Ok,2023-10-03 10:08:00,1696307880,19488.25,19489.0,19484.5,19485.8,0.0,0,0,0,0,19494.657827590403,-1
320,Ok,2023-10-03 10:09:00,1696307940,19486.05,19487.7,19482.45,19486.1,0.0,0,0,0,0,19494.657827590403,-1
319,Ok,2023-10-03 10:10:00,1696308000,19486.65,19488.5,19483.45,19485.15,0.0,0,0,0,0,19494.657827590403,-1
318,Ok,2023-10-03 10:11:00,1696308060,19486.0,19497.4,19486.0,19496.25,0.0,0,0,0,0,19480.91462583312,1
317,Ok,2023-10-03 10:12:00,1696308120,19496.4,19497.55,19493.5,19494.5,0.0,0,0,0,0,19484.977998834245,1
316,Ok,2023-10-03 10:13:00,1696308180,19493.7,19495.8,19488.35,19488.35,0.0,0,0,0,0,19484.977998834245,1
315,Ok,2023-10-03 10:14:00,1696308240,19488.4,19489.8,19486.6,19488.65,0.0,0,0,0,0,19484.977998834245,1
314,Ok,2023-10-03 10:15:00,1696308300,19489.25,19496.95,19488.1,19496.65,0.0,0,0,0,0,19484.977998834245,1
313,Ok,2023-10-03 10:16:00,1696308360,19496.6,19498.15,19492.5,19497.25,0.0,0,0,0,0,19484.98540926028,1
312,Ok,2023-10-03 10:17:00,1696308420,19497.85,19503.75,19496.95,19503.2,0.0,0,0,0,0,19490.017378749337,1
311,Ok,2023-10-03 10:18:00,1696308480,19503.8,19516.85,19503.7,19515.9,0.0,0,0,0,0,19499.43715641738,1
310,Ok,2023-10-03 10:19:00,1696308540,19516.5,19520.45,19514.6,19514.6,0.0,0,0,0,0,19506.78968789931,1
309,Ok,2023-10-03 10:20:00,1696308600,19514.4,19516.1,19510.25,19512.0,0.0,0,0,0,0,19506.78968789931,1
308,Ok,2023-10-03 10:21:00,1696308660,19512.55,19514.35,19508.6,19510.3,0.0,0,0,0,0,19506.78968789931,1
307,Ok,2023-10-03 10:22:00,1696308720,19510.45,19510.45,19506.65,19509.15,0.0,0,0,0,0,19506.78968789931,1
306,Ok,2023-10-03 10:23:00,1696308780,19508.95,19509.15,19503.6,19507.7,0.0,0,0,0,0,19506.78968789931,1
305,Ok,2023-10-03 10:24:00,1696308840,19507.5,19511.15,19507.05,19511.15,0.0,0,0,0,0,19506.78968789931,1
304,Ok,2023-10-03 10:25:00,1696308900,19511.05,19517.35,19510.4,19517.05,0.0,0,0,0,0,19506.78968789931,1
303,Ok,2023-10-03 10:26:00,1696308960,19517.0,19523.3,19513.15,19522.5,0.0,0,0,0,0,19507.946439278574,1
302,Ok,2023-10-03 10:27:00,1696309020,19522.95,19527.95,19521.65,19522.1,0.0,0,0,0,0,19514.56204745915,1
301,Ok,2023-10-03 10:28:00,1696309080,19523.05,19523.25,19520.05,19522.8,0.0,0,0,0,0,19514.56204745915,1
300,Ok,2023-10-03 10:29:00,1696309140,19523.5,19528.5,19523.05,19527.8,0.0,0,0,0,0,19515.87268857744,1
299,Ok,2023-10-03 10:30:00,1696309200,19527.0,19528.7,19525.05,19528.05,0.0,0,0,0,0,19517.188813445206,1
298,Ok,2023-10-03 10:31:00,1696309260,19526.95,19528.65,19523.75,19524.3,0.0,0,0,0,0,19517.188813445206,1
297,Ok,2023-10-03 10:32:00,1696309320,19525.2,19528.85,19524.4,19528.3,0.0,0,0,0,0,19517.188813445206,1
296,Ok,2023-10-03 10:33:00,1696309380,19527.7,19529.6,19524.3,19525.85,0.0,0,0,0,0,19517.583934337104,1
295,Ok,2023-10-03 10:34:00,1696309440,19526.0,19526.0,19517.45,19518.7,0.0,0,0,0,0,19517.583934337104,1
294,Ok,2023-10-03 10:35:00,1696309500,19518.05,19521.25,19518.0,19521.0,0.0,0,0,0,0,19517.583934337104,1
293,Ok,2023-10-03 10:36:00,1696309560,19520.4,19521.2,19508.45,19509.2,0.0,0,0,0,0,19524.60914965295,-1
292,Ok,2023-10-03 10:37:00,1696309620,19509.75,19510.6,19506.75,19508.1,0.0,0,0,0,0,19518.264851214753,-1
291,Ok,2023-10-03 10:38:00,1696309680,19508.05,19512.55,19507.85,19512.55,0.0,0,0,0,0,19518.264851214753,-1
290,Ok,2023-10-03 10:39:00,1696309740,19512.35,19515.65,19511.5,19514.05,0.0,0,0,0,0,19518.264851214753,-1
289,Ok,2023-10-03 10:40:00,1696309800,19514.85,19519.3,19513.9,19515.25,0.0,0,0,0,0,19518.264851214753,-1
288,Ok,2023-10-03 10:41:00,1696309860,19516.45,19517.35,19512.75,19515.9,0.0,0,0,0,0,19518.264851214753,-1
287,Ok,2023-10-03 10:42:00,1696309920,19516.3,19517.4,19511.65,19511.65,0.0,0,0,0,0,19518.264851214753,-1
286,Ok,2023-10-03 10:43:00,1696309980,19512.75,19512.75,19507.55,19508.9,0.0,0,0,0,0,19518.264851214753,-1
285,Ok,2023-10-03 10:44:00,1696310040,19509.1,19509.85,19502.8,19502.8,0.0,0,0,0,0,19515.448327480015,-1
284,Ok,2023-10-03 10:45:00,1696310100,19503.75,19503.9,19500.45,19501.15,0.0,0,0,0,0,19511.10806737589,-1
283,Ok,2023-10-03 10:46:00,1696310160,19500.65,19502.75,19499.05,19501.75,0.0,0,0,0,0,19509.670138373993,-1
282,Ok,2023-10-03 10:47:00,1696310220,19501.25,19507.15,19501.25,19507.15,0.0,0,0,0,0,19509.670138373993,-1
281,Ok,2023-10-03 10:48:00,1696310280,19506.45,19506.45,19497.75,19502.2,0.0,0,0,0,0,19509.670138373993,-1
280,Ok,2023-10-03 10:49:00,1696310340,19502.75,19503.1,19499.0,19500.0,0.0,0,0,0,0,19509.670138373993,-1
279,Ok,2023-10-03 10:50:00,1696310400,19499.9,19500.95,19499.3,19499.8,0.0,0,0,0,0,19508.7083076709,-1
278,Ok,2023-10-03 10:51:00,1696310460,19499.7,19510.75,19499.6,19509.2,0.0,0,0,0,0,19496.20054940544,1
277,Ok,2023-10-03 10:52:00,1696310520,19509.35,19514.0,19509.35,19512.7,0.0,0,0,0,0,19502.785761466475,1
276,Ok,2023-10-03 10:53:00,1696310580,19512.4,19512.5,19508.2,19510.05,0.0,0,0,0,0,19502.785761466475,1
275,Ok,2023-10-03 10:54:00,1696310640,19510.15,19514.8,19510.05,19514.75,0.0,0,0,0,0,19503.718177627656,1
274,Ok,2023-10-03 10:55:00,1696310700,19514.8,19516.9,19510.25,19516.65,0.0,0,0,0,0,19504.807347663624,1
273,Ok,2023-10-03 10:56:00,1696310760,19517.15,19517.15,19513.1,19517.05,0.0,0,0,0,0,19506.48645975365,1
